ID,Actividad,Componente,Responsable,Fecha Límite,Estado,Escalar
1,Compartir el GoFundMe con contactos internacionales,Recaudación de Fondos,Sebastian,2026-07-21,Completado,
2,Actualizar bios de la web (Remitir contenido a Fernando),Actualización de Pagina Web,Fernando,2026-07-24,Activo,
3,Completar el Brief de Marca,Estrategia,Sebastian,2026-07-24,Completado,
4,Darle movimiento a las convocatorias en redes y guías para pregrado,Actualización de Redes Sociales,Esteban,2026-07-24,Completado,
5,Diseñar e implementar formulario de registro en Airtable para el publico,Encuentro CTS 2026,Sebastian,2026-07-24,Completado,
6,Tercer Avance de Revision Sistematica en Rayyan AI,Investigacion,Sebastian,2026-07-24,Completado,
7,Elaborar checklist de plantillas e instrumentos operativos,Encuentro CTS 2026,Sebastian,2026-07-27,Completado,
8,Firma de Convenio con Rios Burga,Firma de Convenios,Sebastian,2026-07-31,Activo,Consejo
9,Diseñar matriz de criterios para evaluación de ponencias,Encuentro CTS 2026,Juan Diego,2026-07-31,Completado,
10,Conformar lista de voluntarios (Perfiles y beneficios),Encuentro CTS 2026,Sebastian,2026-08-03,Completado,
11,Consolidar relación de accesos externos para la PUCP,Encuentro CTS 2026,Sebastian,2026-08-20,Completado,
12,Lluvia de ideas para perfilar dolores de panelistas,Encuentro CTS 2026,Jose,2026-07-18,Completado,
13,Sistematizar cuadro de estado de mesas desde Airtable,Encuentro CTS 2026,Sebastian,2026-07-19,Completado,
14,Estrategia de recaudación y pitch en GoFundMe,Recaudación de Fondos,Sebastian,2026-07-12,Completado,
15,Elaborar una convocatoria y guía para soporte a alumnos de pregrado,Actualización de Redes Sociales,Esteban,2026-07-16,Completado,
16,Coordinar apoyo para la contabilidad de la asociación,Tributación SUNAT,Sebastian,2026-07-19,Completado,
17,Firma de Convenio con Driven,Firma de Convenios,Sebastian,2026-09-12,Activo,
18,"Diseñar y coordinar las constancias de participación (SN, Antropología y Rooted Futures Lab)",Encuentro CTS 2026,Sebastian,2026-09-12,Activo,
19,Recopilar foto y bio de cada integrante para los materiales del evento,Encuentro CTS 2026,Sebastian,2026-08-28,Completado,
20,Elaborar el Run of Show y la logística del evento,Encuentro CTS 2026,Sebastian,2026-08-28,Completado,
21,Crear y administrar el WhatsApp Business de Sidereus Nuncius,Encuentro CTS 2026,Sebastian,2026-08-28,Completado,
22,"Recoger los materiales físicos del evento (banners, insumos)",Encuentro CTS 2026,Juan Diego,2026-08-28,Completado,
23,"Elaborar la Guía para Moderadores y la Guía de Moderación, y enviar la asignación a cada moderador o moderadora",Encuentro CTS 2026,Sebastian,2026-08-28,Completado,
24,Publicar en redes las fotos y el resumen del III Encuentro,Encuentro CTS 2026,Esteban,2026-08-28,Completado,
25,Coordinación con el equipo voluntario,Encuentro CTS 2026,Sebastian,2026-08-28,Completado,
